,url,section,title,year,type,author
2703,https://mindmodeling.org/cogsci2013/papers/0416/index.html,Posters,Syntactic priming in language comprehension allows linguistic expectations to converge on the statistics of the input,2013,poster,"Fine, Alex"
2703,https://mindmodeling.org/cogsci2013/papers/0416/index.html,Posters,Syntactic priming in language comprehension allows linguistic expectations to converge on the statistics of the input,2013,poster,"Jaeger, T. Florian"
2704,https://mindmodeling.org/cogsci2013/papers/0417/index.html,Posters,How high can you jump? Children's Perception of Affordances for Self and Others with Different Abilities,2013,poster,"Fine, Justin"
2704,https://mindmodeling.org/cogsci2013/papers/0417/index.html,Posters,How high can you jump? Children's Perception of Affordances for Self and Others with Different Abilities,2013,poster,"Kloos, Heidi"
2704,https://mindmodeling.org/cogsci2013/papers/0417/index.html,Posters,How high can you jump? Children's Perception of Affordances for Self and Others with Different Abilities,2013,poster,"Jenkins, Mona"
2705,https://mindmodeling.org/cogsci2013/papers/0418/index.html,Posters,The Effect of Non-Linguistic Patterns on Linguistic Biases,2013,poster,"Finley, Sara"
2706,https://mindmodeling.org/cogsci2013/papers/0419/index.html,Posters,Using Causal Induction in Humans to Learn and Infer Causality from Video,2013,poster,"Fire, Amy"
2706,https://mindmodeling.org/cogsci2013/papers/0419/index.html,Posters,Using Causal Induction in Humans to Learn and Infer Causality from Video,2013,poster,"Zhu, Song-Chun"
2707,https://mindmodeling.org/cogsci2013/papers/0420/index.html,Posters,Seeing the forest for the trees predicts accumulation decisions,2013,poster,"Fischer, Helen"
2707,https://mindmodeling.org/cogsci2013/papers/0420/index.html,Posters,Seeing the forest for the trees predicts accumulation decisions,2013,poster,"Gonzalez, Cleotilde"
2708,https://mindmodeling.org/cogsci2013/papers/0421/index.html,Posters,Grammatical Aspect influences Event Duration Estimations: Evidence from Dutch,2013,poster,"Flecken, Monique"
2708,https://mindmodeling.org/cogsci2013/papers/0421/index.html,Posters,Grammatical Aspect influences Event Duration Estimations: Evidence from Dutch,2013,poster,"Gerwien, Johannes"
2709,https://mindmodeling.org/cogsci2013/papers/0422/index.html,Posters,Time (also) flies from left to right... if it is needed!,2013,poster,"Flumini, Andrea"
2709,https://mindmodeling.org/cogsci2013/papers/0422/index.html,Posters,Time (also) flies from left to right... if it is needed!,2013,poster,"Santiago, Julio"
2710,https://mindmodeling.org/cogsci2013/papers/0423/index.html,Posters,Surprise! You've Got Some Explaining to Do,2013,poster,"Foster, Meadhbh I"
2710,https://mindmodeling.org/cogsci2013/papers/0423/index.html,Posters,Surprise! You've Got Some Explaining to Do,2013,poster,"Keane, Mark"
2711,https://mindmodeling.org/cogsci2013/papers/0424/index.html,Posters,"Frequent Frames, Flexible Frames and the Noun-Verb Asymmetry.",2013,poster,"Freudenthal, Daniel"
